"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2025-10-05,"GR",149,"0.01",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",165,"0.025",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",180,"0.05",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",203,"0.1",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",217,"0.15",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",227,"0.2",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",239,"0.25",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",248,"0.3",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",256,"0.35",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",263.6,"0.4",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",270,"0.45",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",278,"0.5",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",286,"0.55",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",295,"0.6",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",304,"0.65",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",313,"0.7",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",323,"0.75",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",334,"0.8",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",346,"0.85",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",363,"0.9",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",388,"0.95",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",411,"0.975",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"GR",438,"0.99",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",1,"0.01",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",2,"0.025",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",2,"0.05",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",3,"0.1",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",4,"0.15",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",5,"0.2",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",5,"0.25",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",6,"0.3",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",6,"0.35",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",7,"0.4",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",7,"0.45",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",8,"0.5",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",8,"0.55",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",9,"0.6",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",9,"0.65",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",10,"0.7",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",11,"0.75",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",12,"0.8",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",13,"0.85",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",14,"0.9",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",16,"0.95",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",18.0249999999996,"0.975",2025-10-22,"quantile","hospital admissions",-1
2025-10-05,"MT",21,"0.99",2025-10-22,"quantile","hospital admissions",-1
2025-10-12,"CZ",58,"0.01",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",64,"0.025",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",69,"0.05",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",76,"0.1",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",82,"0.15",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",85,"0.2",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",90,"0.25",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",93,"0.3",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",96,"0.35",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",99,"0.4",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",101,"0.45",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",104,"0.5",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",107,"0.55",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",109,"0.6",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",112,"0.65",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",115,"0.7",2025-10-22,"quantile","hospital admissions",0
2025-10-12,"CZ",118,"0.75",2025-10-22,"quantile","hospital admissions",0
