"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2025-09-28,"GR",142,"0.01",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",158,"0.025",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",175,"0.05",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",195,"0.1",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",209,"0.15",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",221,"0.2",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",230,"0.25",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",239,"0.3",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",247,"0.35",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",255,"0.4",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",262,"0.45",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",269,"0.5",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",276,"0.55",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",284,"0.6",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",292,"0.65",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",300,"0.7",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",310,"0.75",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",321,"0.8",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",334,"0.85",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",348,"0.9",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",375,"0.95",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",397.025,"0.975",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"GR",431,"0.99",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",2,"0.01",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",3,"0.025",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",4,"0.05",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",5,"0.1",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",6,"0.15",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",6,"0.2",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",7,"0.25",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",7,"0.3",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",8,"0.35",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",9,"0.4",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",9,"0.45",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",10,"0.5",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",10,"0.55",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",11,"0.6",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",11,"0.65",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",12,"0.7",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",13,"0.75",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",14,"0.8",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",15,"0.85",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",17,"0.9",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",19,"0.95",2025-10-15,"quantile","hospital admissions",-1
2025-09-28,"MT",22,"0.975",2025-10-15,"quantile","hospital admissions",-1
