"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2025-10-26,"GR",144,"0.01",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",165,"0.025",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",184,"0.05",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",206,"0.1",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",221,"0.15",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",234,"0.2",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",243,"0.25",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",251,"0.3",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",259,"0.35",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",267,"0.4",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",276,"0.45",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",284,"0.5",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",293.45,"0.55",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",302,"0.6",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",310,"0.65",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",319,"0.7",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",329,"0.75",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",341,"0.8",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",355,"0.85",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",374,"0.9",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",401.05,"0.95",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",429,"0.975",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"GR",467,"0.99",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",0,"0.01",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",1,"0.025",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",1,"0.05",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",2,"0.1",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",2,"0.15",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",3,"0.2",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",3,"0.25",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",4,"0.3",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",4,"0.35",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",4,"0.4",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",5,"0.45",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",5,"0.5",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",5,"0.55",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",6,"0.6",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",6,"0.65",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",7,"0.7",2025-11-12,"quantile","hospital admissions",-1
2025-10-26,"MT",7,"0.75",2025-11-12,"quantile","hospital admissions",-1
